CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;117
RefMandelCalculator;512;1536;1024;100;117
RefMandelCalculator;512;1536;1024;100;117
LineMandelCalculator;512;1536;1024;100;20
LineMandelCalculator;512;1536;1024;100;20
RefMandelCalculator;1024;3072;2048;100;468
LineMandelCalculator;512;1536;1024;100;20
RefMandelCalculator;1024;3072;2048;100;468
RefMandelCalculator;1024;3072;2048;100;468
BatchMandelCalculator;512;1536;1024;100;12
BatchMandelCalculator;512;1536;1024;100;11
BatchMandelCalculator;512;1536;1024;100;12
RefMandelCalculator;2048;6144;4096;100;1865
RefMandelCalculator;2048;6144;4096;100;1865
LineMandelCalculator;1024;3072;2048;100;130
RefMandelCalculator;2048;6144;4096;100;1866
LineMandelCalculator;1024;3072;2048;100;130
LineMandelCalculator;1024;3072;2048;100;131
BatchMandelCalculator;1024;3072;2048;100;46
BatchMandelCalculator;1024;3072;2048;100;46
BatchMandelCalculator;1024;3072;2048;100;46
LineMandelCalculator;2048;6144;4096;100;532
LineMandelCalculator;2048;6144;4096;100;537
LineMandelCalculator;2048;6144;4096;100;536
BatchMandelCalculator;2048;6144;4096;100;187
BatchMandelCalculator;2048;6144;4096;100;188
BatchMandelCalculator;2048;6144;4096;100;187
LineMandelCalculator;4096;12288;8192;100;2120
LineMandelCalculator;4096;12288;8192;100;2122
BatchMandelCalculator;4096;12288;8192;100;728
LineMandelCalculator;4096;12288;8192;100;2117
BatchMandelCalculator;4096;12288;8192;100;735
BatchMandelCalculator;4096;12288;8192;100;730
LineMandelCalculator;512;1536;1024;1000;176
LineMandelCalculator;512;1536;1024;1000;175
BatchMandelCalculator;512;1536;1024;1000;88
LineMandelCalculator;512;1536;1024;1000;177
BatchMandelCalculator;512;1536;1024;1000;88
BatchMandelCalculator;512;1536;1024;1000;88
LineMandelCalculator;1024;3072;2048;1000;1157
LineMandelCalculator;1024;3072;2048;1000;1160
BatchMandelCalculator;1024;3072;2048;1000;332
LineMandelCalculator;1024;3072;2048;1000;1173
LineMandelCalculator;2048;6144;4096;1000;4700
BatchMandelCalculator;1024;3072;2048;1000;327
BatchMandelCalculator;1024;3072;2048;1000;330
LineMandelCalculator;2048;6144;4096;1000;4710
LineMandelCalculator;2048;6144;4096;1000;4690
BatchMandelCalculator;2048;6144;4096;1000;1330
BatchMandelCalculator;2048;6144;4096;1000;1332
BatchMandelCalculator;2048;6144;4096;1000;1330
BatchMandelCalculator;4096;12288;8192;1000;5196
BatchMandelCalculator;4096;12288;8192;1000;5202
BatchMandelCalculator;4096;12288;8192;1000;5195
